"SFP","CWE","Show?","Cppcheck","RATS","Splint","Jlint","Findbugs","Count C/C++","Count Java","RowNum"
"SFP-1","CWE-190","Yes","-","-","-","-",0,0,1,1
"SFP-1","CWE-194","Yes","-","-","-","-",0,0,1,2
"SFP-1","CWE-195","Yes",0,"-","-","-","-",1,0,3
"SFP-1","CWE-197","Yes","-","-","-",0,0,0,2,4
"SFP-1","CWE-369","Yes",0,"-","-","-","-",1,0,5
"SFP-1","CWE-456","Yes",0,"-",0,"-",0,2,1,6
"SFP-1","CWE-457","Yes",0,"-",0,"-",0,2,1,7
"SFP-1","CWE-468","Yes",0,"-","-","-","-",1,0,8
"SFP-1","CWE-469","Yes","-","-",0,"-","-",1,0,9
"SFP-1","CWE-475","Yes",0,"-","-","-","-",1,0,10
"SFP-1","CWE-481","Yes","-","-",0,"-",0,1,1,11
"SFP-1","CWE-486","Yes","-","-","-","-",0,0,1,12
"SFP-1","CWE-562","Yes",0,"-",0,"-","-",2,0,13
"SFP-1","CWE-570","Yes","-","-",0,"-",0,1,1,14
"SFP-1","CWE-571","Yes","-","-","-","-",0,0,1,15
"SFP-1","CWE-579","Yes","-","-","-","-",0,0,1,16
"SFP-1","CWE-587","Yes",0,"-","-","-","-",1,0,17
"SFP-1","CWE-594","Yes","-","-","-","-",0,0,1,18
"SFP-1","CWE-597","Yes","-","-","-",0,0,0,2,19
"SFP-1","CWE-681","Yes","-","-",0,0,0,1,2,20
"SFP-1","CWE-685","Yes",0,"-","-","-",0,1,1,21
"SFP-1","CWE-686","Yes",0,"-","-","-","-",1,0,22
"SFP-1","CWE-704","Yes",0,"-",0,0,0,2,2,23
"SFP-1","CWE-768","Yes","-","-","-","-",0,0,1,24
"SFP--1","CWE-1","Yes",0,"-","-","-","-",1,0,25
"SFP--1","CWE--1","Yes","-",0,0,"-",0,2,1,26
"SFP--1","CWE-114","Yes","-",0,"-","-","-",1,0,27
"SFP--1","CWE-131","Yes",0,"-","-",0,"-",1,1,28
"SFP--1","CWE-133","Yes","-","-","-","-",0,0,1,29
"SFP--1","CWE-192","Yes","-","-","-","-",0,0,1,30
"SFP--1","CWE-230","Yes","-","-",0,"-","-",1,0,31
"SFP--1","CWE-250","Yes","-",0,"-","-","-",1,0,32
"SFP--1","CWE-269","Yes","-","-","-","-",0,0,1,33
"SFP--1","CWE-279","Yes","-",0,"-","-","-",1,0,34
"SFP--1","CWE-287","Yes","-","-","-","-",0,0,1,35
"SFP--1","CWE-295","Yes","-","-","-","-",0,0,1,36
"SFP--1","CWE-310","Yes","-","-","-","-",0,0,1,37
"SFP--1","CWE-326","Yes","-","-","-","-",0,0,1,38
"SFP--1","CWE-327","Yes","-","-","-","-",0,0,1,39
"SFP--1","CWE-329","Yes","-","-","-","-",0,0,1,40
"SFP--1","CWE-330","Yes","-","-","-","-",0,0,1,41
"SFP--1","CWE-340","Yes","-",0,"-","-","-",1,0,42
"SFP--1","CWE-362","Yes","-","-","-","-",0,0,1,43
"SFP--1","CWE-368","Yes","-","-","-","-",0,0,1,44
"SFP--1","CWE-372","Yes","-","-",0,"-","-",1,0,45
"SFP--1","CWE-389","Yes","-","-","-","-",0,0,1,46
