SFP,CWE,Show,Cppcheck,RATS,Splint,Jlint,Findbugs,Count of C/C++ tools,Count of Java tools
SFP7,CWE416,Yes,80,-,0,-,-,2,0
SFP7,CWE476,Yes,80,-,0,80,80,2,2
SFP8,CWE118,Yes,80,-,-,80,-,1,1
SFP8,CWE119,Yes,-,0,0,-,0,2,1
SFP8,CWE120,Yes,80,80,0,-,-,3,0
SFP8,CWE121,Yes,-,80,-,-,-,1,0
SFP8,CWE125,Yes,0,-,0,-,-,2,0
SFP11,CWE170,Yes,80,0,0,-,-,3,0
SFP12,CWE415,Yes,80,-,-,-,-,1,0
SFP12,CWE762,Yes,0,-,-,-,-,1,0
SFP12,CWE590,Yes,80,-,0,-,-,2,0
SFP14,CWE404,Yes,80,-,-,-,-,1,0
SFP14,CWE459,Yes,-,-,-,-,0,0,1
SFP14,CWE771,Yes,0,-,-,-,-,1,0
SFP14,CWE772,Yes,-,-,-,-,0,0,1
SFP14,CWE773,Yes,0,-,-,-,-,1,0
SFP15,CWE672,Yes,80,-,-,-,-,1,0
SFP38,CWE401,Yes,80,0,0,-,-,3,0
SFP1,CWE457,Yes,80,-,80,-,0,2,1
SFP1,CWE468,Yes,0,-,-,-,-,1,0
SFP1,CWE469,Yes,-,-,0,-,-,1,0
SFP1,CWE587,Yes,0,-,-,-,-,1,0
SFP20,CWE367,Yes,-,80,0,-,-,2,0
SFP23,CWE244,Yes,-,80,-,-,-,1,0
SFP23,CWE495,Yes,-,-,-,-,0,0,1
SFP24,CWE78,Yes,-,-,-,-,80,0,1
SFP24,CWE80,Yes,-,-,-,-,0,0,1
SFP24,CWE89,Yes,-,-,-,-,80,0,1
SFP24,CWE99,Yes,-,0,-,-,-,1,0
SFP24,CWE134,Yes,0,80,0,-,-,3,0
SFP28,CWE500,Yes,-,-,-,-,0,0,1
SFP33,CWE259,Yes,-,-,-,-,0,0,1
SFP4,CWE248,Yes,-,0,-,-,-,1,0
SFP4,CWE252,Yes,-,0,0,-,0,2,1
SFP4,CWE253,Yes,-,-,-,-,0,0,1
SFP4,CWE390,Yes,-,-,-,-,0,0,1
SFP4,CWE478,Yes,-,-,-,-,0,0,1
SFP4,CWE484,Yes,-,-,0,-,0,1,1
SFP10,CWE135,Yes,-,0,-,-,-,1,0
SFP10,CWE467,Yes,-,-,0,-,-,1,0
SFP19,CWE364,Yes,-,0,-,-,-,1,0
SFP19,CWE413,Yes,-,-,-,0,0,0,2
SFP19,CWE567,Yes,-,-,-,-,0,0,1
SFP19,CWE609,Yes,-,-,-,-,0,0,1
SFP19,CWE662,Yes,-,-,-,0,0,0,2
SFP19,CWE667,Yes,-,-,-,-,0,0,1
SFP21,CWE585,Yes,-,-,-,-,0,0,1
SFP1,CWE190,Yes,-,-,-,-,0,0,1
SFP1,CWE194,Yes,-,-,-,-,0,0,1
SFP1,CWE195,Yes,0,-,-,-,-,1,0
SFP1,CWE197,Yes,-,-,-,0,0,0,2
SFP1,CWE369,Yes,0,-,-,-,-,1,0
SFP1,CWE456,Yes,0,-,0,-,0,2,1
SFP1,CWE475,Yes,0,-,-,-,-,1,0
SFP1,CWE481,Yes,-,-,0,-,0,1,1
SFP1,CWE486,Yes,-,-,-,-,0,0,1
SFP1,CWE562,Yes,0,-,0,-,-,2,0
SFP1,CWE570,Yes,-,-,0,-,0,1,1
SFP1,CWE571,Yes,-,-,-,-,0,0,1
SFP1,CWE579,Yes,-,-,-,-,0,0,1
SFP1,CWE594,Yes,-,-,-,-,0,0,1
SFP1,CWE597,Yes,-,-,-,0,0,0,2
SFP1,CWE681,Yes,-,-,0,0,0,1,2
SFP1,CWE685,Yes,0,-,-,-,0,1,1
SFP1,CWE686,Yes,0,-,-,-,-,1,0
SFP1,CWE704,Yes,0,-,0,0,0,2,2
SFP1,CWE768,Yes,-,-,-,-,0,0,1
SFP23,CWE214,Yes,-,0,-,-,-,1,0
SFP23,CWE315,Yes,-,-,-,-,0,0,1
SFP23,CWE319,Yes,-,-,-,-,0,0,1
SFP23,CWE375,Yes,-,-,-,-,0,0,1
SFP23,CWE607,Yes,-,-,-,-,0,0,1
SFP24,CWE113,Yes,-,-,-,-,0,0,1
SFP24,CWE158,Yes,-,-,-,-,0,0,1
SFP24,CWE601,Yes,-,-,-,-,0,0,1
SFP24,CWE611,Yes,-,-,-,-,0,0,1
SFP24,CWE643,Yes,-,-,-,-,0,0,1
SFP24,CWE77,Yes,-,0,-,-,-,1,0
SFP24,CWE79,Yes,-,-,-,-,0,0,1
SFP24,CWE90,Yes,-,-,-,-,0,0,1
SFP24,CWE95,Yes,-,0,-,-,-,1,0
SFP28,CWE568,Yes,-,-,-,0,-,0,1
SFP28,CWE580,Yes,-,-,-,-,0,0,1
SFP28,CWE582,Yes,-,-,-,-,0,0,1
SFP28,CWE583,Yes,-,-,-,-,0,0,1
SFP13,CWE400,Yes,-,-,-,-,0,0,1
SFP13,CWE674,Yes,-,-,-,-,0,0,1
SFP16,CWE22,Yes,-,0,-,-,0,1,1
SFP16,CWE23,Yes,-,0,-,-,0,1,1
SFP16,CWE36,Yes,-,-,-,-,0,0,1
SFP16,CWE73,Yes,0,0,-,-,-,2,0
SFP17,CWE243,Yes,-,0,-,-,-,1,0
SFP2,CWE561,Yes,0,-,0,0,0,2,2
SFP2,CWE563,Yes,0,-,0,-,0,2,1
SFP25,CWE15,Yes,-,0,-,-,-,1,0
SFP25,CWE20,Yes,-,0,-,-,0,1,1
SFP25,CWE454,Yes,-,0,0,-,-,2,0
SFP27,CWE545,Yes,-,0,-,-,-,1,0
SFP29,CWE247,Yes,-,0,-,-,-,1,0
SFP3,CWE242,Yes,-,-,-,-,0,0,1
SFP3,CWE474,Yes,-,-,0,-,0,1,1
SFP3,CWE572,Yes,-,-,-,-,0,0,1
SFP3,CWE586,Yes,-,-,-,-,0,0,1
SFP3,CWE676,Yes,0,0,-,-,0,2,1
SFP5,CWE396,Yes,-,-,-,-,0,0,1
SFP9,CWE785,Yes,-,0,-,-,-,1,0
SFP--1,CWE1,Yes,0,-,-,-,-,1,0
SFP--1,CWE--1,Yes,-,0,0,-,0,2,1
SFP--1,CWE114,Yes,-,0,-,-,-,1,0
SFP--1,CWE131,Yes,0,-,-,0,-,1,1
SFP--1,CWE133,Yes,-,-,-,-,0,0,1
SFP--1,CWE192,Yes,-,-,-,-,0,0,1
SFP--1,CWE230,Yes,-,-,0,-,-,1,0
SFP--1,CWE250,Yes,-,0,-,-,-,1,0
SFP--1,CWE269,Yes,-,-,-,-,0,0,1
SFP--1,CWE279,Yes,-,0,-,-,-,1,0
SFP--1,CWE287,Yes,-,-,-,-,0,0,1
SFP--1,CWE295,Yes,-,-,-,-,0,0,1
